"Date","VOC, ppm","AQS","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3","Latitude","Longitude"
"2025-03-13 15:14:00","0.337","79","16.7","40.0","997.60","1.5","3.4","4.3","43.5870979","-5.7708899"
"2025-03-13 15:13:00","0.333","80","16.7","39.0","997.60","1.0","3.0","4.0","43.5871128","-5.770888"
"2025-03-13 15:12:00","0.319","80","16.8","46.0","997.60","1.0","2.0","4.0","43.5871213","-5.7708096"
"2025-03-13 15:11:00","0.301","81","17.9","33.0","997.60","9.0","11.0","12.0","43.5871213","-5.7708096"
"2025-03-13 15:10:00","0.094","94","17.6","56.0","1006.30","","","","43.5871213","-5.7708096"
"2025-03-13 15:09:00","0.323","80","18","33.0","997.64","1.0","2.0","3.0","",""
"2025-03-13 15:08:00","0.367","77","19","31.0","997.55","1.0","2.0","3.0","",""
"2025-03-13 15:07:00","0.332","80","19","32.0","997.56","1.0","2.0","3.0","",""
"2025-03-13 15:06:00","0.242","85","18","33.0","997.65","1.0","2.0","3.0","",""
"2025-03-13 15:05:00","0.25","85","17","34.0","997.48","1.0","2.0","3.0","",""
"2025-03-13 15:04:00","0.275","83","18","32.0","997.63","1.0","2.0","3.0","",""
"2025-03-13 15:03:00","0.271","83","18","32.0","997.52","1.0","2.0","3.0","",""
"2025-03-13 15:02:00","0.296","82","19","30.0","997.48","1.0","2.0","3.0","",""
"2025-03-13 15:01:00","0.291","82","19","30.0","997.49","1.0","2.0","3.0","",""
"2025-03-13 15:00:00","0.333","80","21","27.0","997.56","1.0","2.0","3.0","",""
"2025-03-13 14:59:00","0.36","78","22","26.0","997.44","1.0","4.0","7.0","",""
"2025-03-13 14:58:00","0.426","74","23","25.0","997.40","1.0","4.0","7.0","",""
"2025-03-13 14:57:00","0.421","74","22","26.0","997.46","1.0","4.0","7.0","",""
"2025-03-13 14:56:00","0.94","62","23","25.0","997.48","1.0","4.0","7.0","",""
"2025-03-13 14:55:00","0.971","61","22","26.0","997.50","1.0","4.0","7.0","",""
"2025-03-13 14:54:00","0.656","67","21","28.0","997.50","1.0","4.0","7.0","",""
"2025-03-13 14:53:00","0.606","68","21","27.0","997.52","1.0","4.0","7.0","",""
"2025-03-13 14:52:00","0.502","69","22","27.0","997.45","1.0","4.0","7.0","",""
"2025-03-13 14:51:00","0.302","81","21","28.0","997.47","1.0","4.0","7.0","",""
"2025-03-13 14:50:00","0.306","81","21","29.0","997.48","1.0","4.0","7.0","",""
"2025-03-13 14:49:00","0.307","81","20","29.0","997.48","1.0","4.0","7.0","",""
"2025-03-13 14:48:00","0.327","80","20","29.0","997.56","1.0","4.0","7.0","",""
"2025-03-13 14:47:00","0.335","79","19","31.0","997.58","1.0","4.0","7.0","",""
"2025-03-13 14:46:00","0.25","85","19","30.0","997.65","1.0","4.0","7.0","",""
"2025-03-13 14:45:00","0.277","83","18","31.0","997.56","1.0","4.0","7.0","",""
"2025-03-13 14:44:00","0.332","80","17","34.0","997.62","1.0","4.0","5.0","",""
"2025-03-13 14:43:00","0.349","79","16","35.0","997.57","1.0","3.0","4.0","",""
"2025-03-13 14:42:00","0.285","82","16","34.0","997.65","1.0","3.0","4.0","",""
"2025-03-13 14:41:00","0.286","82","17","32.0","997.67","1.0","3.0","4.0","",""
"2025-03-13 14:40:00","0.318","80","18","31.0","997.59","1.0","3.0","4.0","",""
"2025-03-13 14:39:00","0.358","78","19","29.0","997.63","1.0","3.0","4.0","",""
"2025-03-13 14:38:00","0.324","80","19","30.0","997.56","1.0","3.0","4.0","",""
"2025-03-13 14:37:00","0.257","84","19","30.0","997.53","1.0","3.0","4.0","",""
"2025-03-13 14:36:00","0.216","87","18","31.0","997.50","1.0","3.0","4.0","",""
"2025-03-13 14:35:00","0.229","86","17","32.0","997.58","1.0","3.0","4.0","",""
"2025-03-13 14:34:00","0.241","85","17","32.0","997.68","1.0","3.0","4.0","",""
"2025-03-13 14:33:00","0.225","86","17","31.0","997.66","1.0","3.0","4.0","",""
"2025-03-13 14:32:00","0.225","86","17","32.0","997.67","1.0","3.0","4.0","",""
"2025-03-13 14:31:00","0.216","87","17","32.0","997.65","1.0","3.0","4.0","",""
"2025-03-13 14:30:00","0.219","86","16","35.0","997.56","1.0","3.0","4.0","",""
"2025-03-13 14:29:00","0.245","85","16","34.0","997.81","1.0","3.0","4.0","",""
"2025-03-13 14:28:00","0.286","82","16","35.0","997.78","1.0","3.0","4.0","",""
"2025-03-13 14:27:00","0.322","80","16","34.0","997.77","1.0","2.0","3.0","",""
