Date,"VOC, ppm",AQS,"Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
2025-04-02 23:59:00,9.027,0,21,53,994.04,1,8,16,43.56302872,-5.739164429
2025-04-02 23:58:00,9.001,0,21,53,994.04,1,8,16,43.56302872,-5.739164429
2025-04-02 23:57:00,8.936,0,21,53,994.06,1,8,16,43.56302872,-5.739164429
2025-04-02 23:56:00,8.936,0,21,53,994.06,1,8,16,43.56302872,-5.739164429
2025-04-02 23:55:00,8.909,0,21,53,994.07,1,8,16,43.56302872,-5.739164429
2025-04-02 23:54:00,8.824,0,21,53,994.12,1,8,16,43.56302872,-5.739164429
2025-04-02 23:53:00,8.543,0,21,53,994.05,1,8,16,43.56302872,-5.739164429
2025-04-02 23:52:00,8.274,1,21,53,993.98,1,8,16,43.56302872,-5.739164429
2025-04-02 23:51:00,7.619,5,21,53,993.93,1,8,16,43.56302872,-5.739164429
2025-04-02 23:50:00,6.879,10,21,53,993.83,1,8,16,43.56302872,-5.739164429
2025-04-02 23:49:00,6.662,12,21,53,993.84,1,8,16,43.56302872,-5.739164429
2025-04-02 23:48:00,9.361,0,21,53,993.82,1,8,16,43.56302872,-5.739164429
2025-04-02 23:47:00,9.119,0,21,53,993.78,5,7,8,43.56302872,-5.739164429
2025-04-02 23:46:00,9.257,0,21,53,993.83,5,7,8,43.56302872,-5.739164429
2025-04-02 23:45:00,9.257,0,21,53,993.79,5,7,8,43.56302872,-5.739164429
2025-04-02 23:44:00,9.067,0,21,53,993.75,5,7,8,43.56302872,-5.739164429
2025-04-02 23:43:00,9.132,0,21,53,993.8,5,7,8,43.56302872,-5.739164429
2025-04-02 23:42:00,9.08,0,21,53,993.67,5,7,8,43.56302872,-5.739164429
2025-04-02 23:41:00,8.896,0,21,53,993.65,5,7,8,43.56302872,-5.739164429
2025-04-02 23:40:00,9.145,0,21,54,993.66,5,7,8,43.56302872,-5.739164429
2025-04-02 23:39:00,8.909,0,21,54,993.62,5,7,8,43.56302872,-5.739164429
2025-04-02 23:38:00,8.772,0,21,54,993.66,5,7,8,43.56302872,-5.739164429
2025-04-02 23:37:00,8.615,0,21,54,993.62,5,7,8,43.56302872,-5.739164429
2025-04-02 23:36:00,8.431,0,21,54,993.59,5,7,8,43.56302872,-5.739164429
2025-04-02 23:35:00,7.927,3,21,54,993.64,5,7,8,43.56302872,-5.739164429
2025-04-02 23:34:00,7.35,7,21,54,993.68,5,7,8,43.56302872,-5.739164429
2025-04-02 23:33:00,6.872,11,21,53,993.71,5,7,8,43.56302872,-5.739164429
2025-04-02 23:32:00,9.263,0,21,54,993.68,5,7,8,43.56302872,-5.739164429
2025-04-02 23:31:00,9.434,0,21,54,993.7,1,2,3,43.56302872,-5.739164429
2025-04-02 23:30:00,9.263,0,21,54,993.77,1,2,3,43.56302872,-5.739164429
2025-04-02 23:29:00,9.244,0,21,54,993.73,1,2,3,43.56302872,-5.739164429
2025-04-02 23:28:00,9.224,0,21,54,993.77,1,2,3,43.56302872,-5.739164429
2025-04-02 23:27:00,9.237,0,21,54,993.69,1,2,3,43.56302872,-5.739164429
2025-04-02 23:26:00,8.962,0,21,54,993.64,1,2,3,43.56302872,-5.739164429
2025-04-02 23:25:00,8.968,0,21,54,993.62,1,2,3,43.56302872,-5.739164429
2025-04-02 23:24:00,8.857,0,21,54,993.57,1,2,3,43.56302872,-5.739164429
2025-04-02 23:23:00,8.851,0,21,54,993.59,1,2,3,43.56302872,-5.739164429
2025-04-02 23:22:00,8.693,0,21,54,993.43,1,2,3,43.56302872,-5.739164429
2025-04-02 23:21:00,8.49,0,21,54,993.47,1,2,3,43.56302872,-5.739164429
2025-04-02 23:20:00,8.182,2,21,54,993.49,1,2,3,43.56302872,-5.739164429
2025-04-02 23:19:00,7.829,4,21,54,993.56,1,2,3,43.56302872,-5.739164429
2025-04-02 23:18:00,7.219,8,21,54,993.52,1,2,3,43.56302872,-5.739164429
2025-04-02 23:17:00,6.8,11,20,56,993.54,1,2,3,43.56302872,-5.739164429
2025-04-02 23:16:00,8.661,0,20,56,993.52,1,2,3,43.56302872,-5.739164429
2025-04-02 23:15:00,8.693,0,20,56,993.55,3,5,6,43.56302872,-5.739164429
2025-04-02 23:14:00,8.634,0,20,57,993.55,3,5,6,43.56302872,-5.739164429
2025-04-02 23:13:00,8.379,0,20,56,993.61,3,5,6,43.56302872,-5.739164429
2025-04-02 23:12:00,7.855,4,20,56,993.44,3,5,6,43.56302872,-5.739164429
2025-04-02 23:11:00,7.39,7,20,56,993.55,3,5,6,43.56302872,-5.739164429
2025-04-02 23:10:00,6.721,12,20,56,993.52,3,5,6,43.56302872,-5.739164429
2025-04-02 23:09:00,6.158,15,19,59,993.62,3,5,6,43.56302872,-5.739164429
2025-04-02 23:08:00,6.505,13,19,58,993.69,3,5,6,43.56302872,-5.739164429
2025-04-02 23:07:00,8.582,0,19,60,993.71,2,3,4,43.56302872,-5.739164429
2025-04-02 23:06:00,8.523,0,19,58,993.8,2,3,4,43.56302872,-5.739164429
2025-04-02 23:05:00,8.274,1,19,58,993.81,2,3,4,43.56302872,-5.739164429
2025-04-02 23:04:00,8.038,3,19,58,993.74,2,3,4,43.56302872,-5.739164429
2025-04-02 23:03:00,7.652,5,19,58,993.84,2,3,4,43.56302872,-5.739164429
2025-04-02 23:02:00,6.977,10,19,58,993.76,2,3,4,43.56302872,-5.739164429
2025-04-02 23:01:00,6.715,12,19,57,993.75,2,3,4,43.56302872,-5.739164429
2025-04-02 23:00:00,8.746,0,19,57,993.76,2,3,4,43.56302872,-5.739164429
2025-04-02 22:59:00,9.06,0,19,57,993.67,2,4,5,43.56302872,-5.739164429
2025-04-02 22:58:00,8.975,0,19,57,993.74,2,4,5,43.56302872,-5.739164429
2025-04-02 22:57:00,9.008,0,19,57,993.76,2,4,5,43.56302872,-5.739164429
2025-04-02 22:56:00,8.89,0,19,57,993.66,2,4,5,43.56302872,-5.739164429
2025-04-02 22:55:00,9.106,0,19,57,993.69,2,4,5,43.56302872,-5.739164429
2025-04-02 22:54:00,9.178,0,19,57,993.76,2,4,5,43.56302872,-5.739164429
2025-04-02 22:53:00,9.283,0,19,57,993.82,2,4,5,43.56302872,-5.739164429
2025-04-02 22:52:00,9.132,0,19,57,993.86,2,4,5,43.56302872,-5.739164429
2025-04-02 22:51:00,9.008,0,19,57,993.85,2,4,5,43.56302872,-5.739164429
2025-04-02 22:50:00,8.693,0,19,57,993.88,2,4,5,43.56302872,-5.739164429
2025-04-02 22:49:00,8.549,0,19,57,993.93,2,4,5,43.56302872,-5.739164429
2025-04-02 22:48:00,8.163,2,19,57,993.87,2,4,5,43.56302872,-5.739164429
2025-04-02 22:47:00,7.652,5,19,57,993.98,2,4,5,43.56302872,-5.739164429
2025-04-02 22:46:00,7.023,9,19,57,993.95,2,4,5,43.56302872,-5.739164429
2025-04-02 22:45:00,6.735,11,19,57,994.04,2,4,5,43.56302872,-5.739164429
2025-04-02 22:44:00,8.569,0,19,57,994,2,4,5,43.56302872,-5.739164429
2025-04-02 22:43:00,8.844,0,19,57,994.02,1,3,4,43.56302872,-5.739164429
2025-04-02 22:42:00,8.765,0,19,57,993.97,1,3,4,43.56302872,-5.739164429
2025-04-02 22:41:00,8.543,0,19,57,993.98,1,3,4,43.56302872,-5.739164429
2025-04-02 22:40:00,8.641,0,19,57,993.99,1,3,4,43.56302872,-5.739164429
2025-04-02 22:39:00,8.405,0,19,57,994.04,1,3,4,43.56302872,-5.739164429
2025-04-02 22:38:00,8.471,0,19,57,994.06,1,3,4,43.56302872,-5.739164429
2025-04-02 22:37:00,8.156,2,19,57,994.03,1,3,4,43.56302872,-5.739164429
2025-04-02 22:36:00,8.15,2,19,57,994.11,1,3,4,43.56302872,-5.739164429
2025-04-02 22:35:00,8.045,3,19,57,994,1,3,4,43.56302872,-5.739164429
2025-04-02 22:34:00,7.901,4,19,57,993.96,1,3,4,43.56302872,-5.739164429
2025-04-02 22:33:00,7.822,4,19,57,993.84,1,3,4,43.56302872,-5.739164429
2025-04-02 22:32:00,7.494,6,19,57,993.81,1,3,4,43.56302872,-5.739164429
2025-04-02 22:31:00,6.925,10,19,57,993.77,1,3,4,43.56302872,-5.739164429
2025-04-02 22:30:00,6.368,14,19,57,993.87,1,3,4,43.56302872,-5.739164429
2025-04-02 22:29:00,5.962,17,19,57,993.93,1,3,4,43.56302872,-5.739164429
2025-04-02 22:28:00,7.789,4,19,57,994.01,1,3,4,43.56302872,-5.739164429
2025-04-02 22:27:00,8.471,0,19,57,994.08,2,4,6,43.56302872,-5.739164429
2025-04-02 22:26:00,8.398,0,19,56,994.05,2,4,6,43.56302872,-5.739164429
2025-04-02 22:25:00,8.333,1,19,57,993.95,2,4,6,43.56302872,-5.739164429
2025-04-02 22:24:00,8.353,0,19,56,993.97,2,4,6,43.56302872,-5.739164429
2025-04-02 22:23:00,8.326,1,19,57,993.91,2,4,6,43.56302872,-5.739164429
2025-04-02 22:22:00,8.169,2,19,57,994.01,2,4,6,43.56302872,-5.739164429
2025-04-02 22:21:00,8.163,2,19,57,994.14,2,4,6,43.56302872,-5.739164429
