Date,"VOC, ppm",AQS,"Temperature, ¶øC","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3",Latitude,Longitude
2025-04-01 14:54:00,Valores de PM en rojo,57,25,31,997.09,1,2,3,"39,931,288","-2,035,397"
2025-04-01 14:53:00,los d¡as que los COV daban raro.,57,25,30,997.07,2,3,4,"39,931,288","-2,035,397"
2025-04-01 14:52:00,Parece que el sensor de COV se descalibr¢,57,25,30,997.11,2,3,4,"39,931,288","-2,035,397"
2025-04-01 14:51:00,os pregunt‚ y me dijisteis de borrar los COV y marcar esos PM en rojo,57,25,30,997.13,2,3,4,,
2025-04-01 14:50:00,,57,25,29,997.14,2,3,4,,
2025-04-01 14:49:00,,57,25,30,997.16,2,3,4,,
2025-04-01 14:48:00,,57,25,30,997.19,2,3,4,,
2025-04-01 14:47:00,,57,25,31,997.18,2,3,4,,
2025-04-01 14:46:00,,58,25,30,997.2,2,3,4,,
2025-04-01 14:45:00,,58,25,30,997.25,2,3,4,,
2025-04-01 14:44:00,,58,25,30,997.24,2,3,4,,
2025-04-01 14:43:00,,58,25,30,997.27,2,3,4,,
2025-04-01 14:42:00,,58,25,30,997.3,2,3,4,,
2025-04-01 14:41:00,,58,25,30,997.32,1,3,4,,
2025-04-01 14:40:00,,58,25,31,997.34,2,3,5,,
2025-04-01 14:39:00,,58,25,31,997.35,2,3,5,,
2025-04-01 14:38:00,,58,25,31,997.41,2,3,5,,
2025-04-01 14:37:00,,58,25,31,997.41,2,3,5,,
2025-04-01 14:36:00,,58,25,31,997.44,2,3,5,,
2025-04-01 14:35:00,,58,25,31,997.48,2,3,5,,
2025-04-01 14:34:00,,58,25,31,997.5,2,3,5,,
2025-04-01 14:33:00,,58,25,31,997.51,2,3,5,,
2025-04-01 14:32:00,,59,25,32,997.5,2,3,5,,
2025-04-01 14:31:00,,59,25,32,997.55,2,3,5,,
2025-04-01 14:30:00,,59,25,32,997.54,2,3,5,,
2025-04-01 14:29:00,,59,25,32,997.55,2,3,5,,
2025-04-01 14:28:00,,59,25,32,997.55,2,3,5,,
2025-04-01 14:27:00,,58,25,32,997.59,2,3,5,,
2025-04-01 14:26:00,,58,25,31,997.6,2,3,5,,
2025-04-01 14:25:00,,57,25,31,997.59,1,3,5,,
2025-04-01 14:24:00,,57,25,31,997.59,1,4,5,,
2025-04-01 14:23:00,,57,25,32,997.61,2,4,5,,
2025-04-01 14:22:00,,57,25,32,997.64,2,4,5,,
2025-04-01 14:21:00,,57,24,33,997.66,2,4,5,,
2025-04-01 14:20:00,,57,24,33,997.66,2,4,5,,
2025-04-01 14:19:00,,57,24,34,997.7,2,4,5,,
2025-04-01 14:18:00,,57,24,34,997.72,2,4,5,,
2025-04-01 14:17:00,,57,24,33,997.77,2,4,5,,
2025-04-01 14:16:00,,56,24,33,997.76,2,4,5,,
2025-04-01 14:15:00,,56,24,34,997.77,2,4,5,,
2025-04-01 14:14:00,,56,24,34,997.78,2,4,5,,
2025-04-01 14:13:00,,56,24,33,997.82,2,4,5,,
2025-04-01 14:12:00,,56,23,33,997.85,2,4,5,,
2025-04-01 14:11:00,,56,23,36,997.86,2,4,5,,
2025-04-01 14:10:00,,56,23,35,997.88,2,4,5,,
2025-04-01 14:09:00,,56,23,36,997.89,2,4,5,,
2025-04-01 14:08:00,,56,23,36,997.89,2,4,5,,
2025-04-01 14:07:00,,56,23,34,997.9,3,4,5,,
2025-04-01 14:06:00,,56,24,34,997.87,3,4,5,,
2025-04-01 14:05:00,,56,24,34,997.88,3,4,5,,
2025-04-01 14:04:00,,56,24,34,997.88,3,4,5,,
2025-04-01 14:03:00,,56,24,34,997.93,3,4,5,,
2025-04-01 14:02:00,,56,24,34,997.89,3,4,5,,
2025-04-01 14:01:00,,57,24,33,997.95,3,4,5,,
2025-04-01 14:00:00,,57,24,34,997.97,3,4,5,,
2025-04-01 13:59:00,,57,24,34,997.99,3,4,5,,
2025-04-01 13:58:00,,57,25,32,997.98,3,4,5,,
2025-04-01 13:57:00,,57,25,32,997.98,3,4,5,,
2025-04-01 13:56:00,,58,25,33,998.02,3,4,5,,
2025-04-01 13:55:00,,58,25,33,998.01,3,4,5,,
2025-04-01 13:54:00,,58,25,33,998.04,3,4,5,,
2025-04-01 13:53:00,,58,25,33,998.04,2,4,5,,
2025-04-01 13:52:00,,58,25,33,998.07,2,4,6,,
2025-04-01 13:51:00,,58,25,33,998.11,3,5,6,,
2025-04-01 13:50:00,,58,25,33,998.14,3,5,6,,
2025-04-01 13:49:00,,58,25,33,998.14,3,5,6,,
2025-04-01 13:48:00,,58,25,33,998.13,3,5,6,,
2025-04-01 13:47:00,,58,25,33,998.15,3,5,6,,
2025-04-01 13:46:00,,57,25,33,998.2,3,5,6,,
2025-04-01 13:45:00,,57,25,33,998.2,3,5,6,,
