"Date,""VOC, ppm"",""AQS"",""Temperature, °C"",""Humidity, %"",""Pressure, mbar"",""PM1, ug/m3"",""PM2.5, ug/m3"",""PM10, ug/m3"",""Latitude"",""Longitude"""
"2025-04-30 13:13:00,""1.454"",""53"",""31.9"",""25.0"",""977.20"",""1.9"",""3.3"",""4.2"","""","""""
"2025-04-30 13:12:00,""1.617"",""50"",""32.3"",""25.0"",""977.10"",""1.4"",""2.5"",""3.9"","""","""""
"2025-04-30 13:11:00,""1.838"",""46"",""32.8"",""24.0"",""977.10"",""2.5"",""4.3"",""6.0"","""","""""
"2025-04-30 13:10:00,""1.919"",""45"",""33"",""24.0"",""977.20"","""","""","""",""43.1725471"",""-5.7457098"""
"2025-04-30 13:09:00,""6.381"",""14"",""33.8"",""21.0"",""977.20"","""","""","""","""","""""
"2025-04-30 13:08:00,""6.394"",""14"",""34.2"",""21.0"",""977.30"","""","""","""","""","""""
"2025-04-30 13:07:00,""6.355"",""14"",""34.7"",""20.0"",""977.30"","""","""","""","""","""""
"2025-04-30 13:06:00,""6.453"",""13"",""35.4"",""20.0"",""977.30"","""","""","""","""","""""
"2025-04-30 13:05:00,""6.636"",""12"",""36.1"",""19.0"",""977.20"","""","""","""","""","""""
"2025-04-30 13:04:00,""5.55"",""19"",""36"",""19.0"",""977.34"","""","""","""","""","""""
"2025-04-30 13:03:00,""5.508"",""20"",""37"",""18.0"",""977.30"","""","""","""","""","""""
"2025-04-30 13:02:00,""5.48"",""20"",""38"",""17.0"",""977.28"","""","""","""","""","""""
"2025-04-30 13:01:00,""5.443"",""20"",""39"",""16.0"",""977.14"","""","""","""","""","""""
"2025-04-30 13:00:00,""5.358"",""21"",""40"",""16.0"",""977.16"","""","""","""","""","""""
"2025-04-30 12:59:00,""5.31"",""21"",""40"",""15.0"",""977.13"","""","""","""","""","""""
"2025-04-30 12:58:00,""5.324"",""21"",""40"",""14.0"",""977.17"","""","""","""","""","""""
"2025-04-30 12:57:00,""5.383"",""21"",""41"",""14.0"",""977.15"","""","""","""","""","""""
"2025-04-30 12:56:00,""5.37"",""21"",""41"",""14.0"",""977.17"","""","""","""","""","""""
"2025-04-30 12:55:00,""5.34"",""21"",""41"",""14.0"",""977.19"","""","""","""","""","""""
"2025-04-30 12:54:00,""5.385"",""21"",""40"",""14.0"",""977.21"",""1.0"",""2.0"",""3.0"","""","""""
"2025-04-30 12:53:00,""5.539"",""20"",""41"",""14.0"",""977.25"",""1.0"",""2.0"",""4.0"","""","""""
"2025-04-30 12:52:00,""5.567"",""19"",""41"",""14.0"",""977.27"","""","""","""","""","""""
"2025-04-30 12:51:00,""5.524"",""20"",""41"",""14.0"",""977.25"","""","""","""","""","""""
"2025-04-30 12:50:00,""5.551"",""19"",""41"",""13.0"",""977.26"","""","""","""","""","""""
"2025-04-30 12:49:00,""5.544"",""20"",""41"",""14.0"",""977.28"","""","""","""","""","""""
"2025-04-30 12:48:00,""5.441"",""20"",""41"",""15.0"",""977.30"","""","""","""","""","""""
"2025-04-30 12:47:00,""5.343"",""21"",""41"",""15.0"",""977.36"","""","""","""","""","""""
